Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1000,-0.03948066098182988,-23.29883695380046,85.06734143938576
1023.292992280754,-0.03970227885510203,-23.03442523668863,84.92008277427196
1047.1285480509,-0.03942660421224032,-22.76340413082652,84.76810172795743
1071.519305237606,-0.03925732305870258,-22.49691032457678,84.6444840827468
1096.478196143185,-0.03897482064958977,-22.22490015334559,84.46743231118575
1122.018454301964,-0.03906376469393057,-21.94976880986811,84.31110434383839
1148.153621496883,-0.03867292255822195,-21.66991138347014,84.1291179079187
1174.89755493953,-0.03890367546093952,-21.38481909218573,83.95066409695065
1202.264434617413,-0.03862635659758945,-21.0932391984735,83.76223586209498
1230.268770812381,-0.03877054536545278,-20.79399794876493,83.58127174480607
1258.925411794167,-0.03871319972220547,-20.49249740320591,83.35362381506668
1288.249551693134,-0.03854429334337993,-20.18430221207947,83.1258352304101
1318.256738556407,-0.03860698484481135,-19.87112726824141,82.87050247599468
1348.962882591654,-0.03831487479679783,-19.5502197019983,82.61968369069997
1380.384264602885,-0.0379711757851454,-19.21797841981882,82.34204864591811
1412.537544622754,-0.03840258043374455,-18.87436688513005,82.04690355706444
1445.439770745928,-0.03803297868309246,-18.52808297112348,81.73237763257794
1479.108388168208,-0.0381136566760236,-18.16918016585895,81.39188958125941
1513.561248436208,-0.03766577066212771,-17.79949771625061,81.02809662970859
1548.816618912481,-0.03790876282469444,-17.41591848130703,80.62818623754613
1584.893192461113,-0.03761057404668131,-17.02052092960056,80.19595338002392
1621.81009735893,-0.03749710300568802,-16.61185627816255,79.71317712860221
1659.586907437561,-0.03745225742056029,-16.18227489317545,79.20042392857441
1698.243652461744,-0.03736582298723851,-15.73455668438194,78.61498254439282
1737.800828749375,-0.03671030740384784,-15.27084406087606,77.96983015317286
1778.279410038923,-0.03737398367907503,-14.78163019761679,77.24506796281122
1819.700858609984,-0.03664991905205019,-14.26816366479097,76.43610383266855
1862.087136662867,-0.03719847084943916,-13.72044002409603,75.51570632946459
1905.460717963247,-0.0367315344395033,-13.14411174505586,74.44929604967766
1949.844599758045,-0.03626732691542679,-12.52903065742028,73.21183477134156
1995.26231496888,-0.03652105567946695,-11.86588781316099,71.75701301505623
2041.73794466953,-0.03669087133865747,-11.14930514354941,70.01134383568299
2089.29613085404,-0.03643480716826752,-10.37267611023933,67.87981353278174
2137.962089502233,-0.03643824190643298,-9.519483418663455,65.22646168527274
2187.761623949553,-0.03651126204216054,-8.581063720155399,61.81038097858755
2238.721138568339,-0.03660782693406003,-7.546148861466077,57.31151815191539
2290.867652767773,-0.03718451724794148,-6.422081957460847,51.22911886685483
2344.228815319922,-0.0388900651193402,-5.2593156280962,42.98042649202981
2398.83291901949,-0.04001885212142928,-4.197794110700865,32.32920626018982
2454.708915685031,-0.04147589532859222,-3.425146253815006,20.03159129687177
2511.88643150958,-0.04210958996272852,-3.038170364993702,7.487606017081902
2570.395782768863,-0.04217694057528718,-3.008678985642363,-4.22413441533152
2630.267991895381,-0.04014523198811354,-3.251984385652321,-14.6490381574191
2691.534803926916,-0.03959312898377718,-3.674222922619105,-23.69926810696495
2754.228703338166,-0.0381404327853752,-4.210810222110861,-31.49053542873827
2818.382931264454,-0.03664872393654806,-4.818319896587814,-38.18882117069042
2884.031503126605,-0.03544932823092549,-5.471597750846925,-43.937714761528
2951.209226666385,-0.0332298809697338,-6.14833616028217,-48.87242926936905
