Time (s),Channel 1 (V),Channel 2 (V)
-0.005119196428571429,-0.5958696640454466,-0.06384699630750754
-0.005117946428571428,-0.6024211418438443,-0.06656971732847644
-0.005116696428571428,-0.6117311366099917,-0.06759073771134071
-0.005115446428571428,-0.6189722436503226,-0.06963277847706645
-0.005114196428571428,-0.6248340922067837,-0.07201515937041425
-0.005112946428571429,-0.6351785308358326,-0.07303617975327759
-0.005111696428571428,-0.641385194013262,-0.07541856064662539
-0.005110446428571429,-0.648626301053593,-0.0767799211571092
-0.005109196428571428,-0.6569018519568354,-0.07882196192283653
-0.005107946428571428,-0.6634533297552364,-0.07916230205045871
-0.005106696428571428,-0.6706944367955674,-0.08154468294380543
-0.005105446428571428,-0.6775907292149365,-0.08324638358191162
-0.005104196428571428,-0.6844870216342993,-0.08460774409239544
-0.005102946428571428,-0.6920729432956019,-0.08699012498574324
-0.005101696428571429,-0.7010381234407776,-0.08801114536860657
-0.005100446428571428,-0.7079344158601436,-0.09005318613433325
-0.005099196428571429,-0.7148307082795065,-0.09073386638957517
-0.005097946428571428,-0.7217270006988755,-0.09311624728292328
-0.005096696428571428,-0.7268992200134038,-0.09413726766578739
-0.005095446428571428,-0.7351747709166392,-0.09583896830389219
-0.005094196428571428,-0.7427606925779443,-0.09651964855913517
-0.005092946428571428,-0.7482777265134345,-0.09822134919723996
-0.005091696428571428,-0.753449945827959,-0.0992423695801033
-0.005090446428571429,-0.7613806821102262,-0.09992304983534522
-0.005089196428571428,-0.7668977160457225,-0.1019650906010722
-0.005087946428571429,-0.7731043792231492,-0.103326451111556
-0.005086696428571428,-0.7803454862634862,-0.1046878116220411
-0.005085446428571428,-0.7865521494409181,-0.1057088320049051
-0.005084196428571428,-0.7920691833764084,-0.1070701925153889
-0.005082946428571428,-0.7972414026909328,-0.10741053264301
-0.005081696428571428,-0.8041376951102989,-0.1087718931534945
-0.005080446428571428,-0.8096547290457916,-0.1108139339192211
-0.005079196428571429,-0.8165510214651545,-0.1114946141744631
-0.005077946428571428,-0.8220680554006503,-0.1114946141744634
-0.005076696428571429,-0.8262058308522681,-0.1121752944297053
-0.005075446428571428,-0.8324124940296993,-0.1131963148125689
-0.005074196428571428,-0.8375847133442261,-0.1145576753230543
-0.005072946428571428,-0.8427569326587482,-0.1165997160887801
-0.005071696428571428,-0.848273966594241,-0.1169400562164012
-0.005070446428571429,-0.8531013712877972,-0.1183014167268857
-0.005069196428571428,-0.8579287759813533,-0.1179610765992645
-0.005067946428571429,-0.864480253779748,-0.1186417568545065
-0.005066696428571428,-0.8696524730942755,-0.1200031173649912
-0.005065446428571428,-0.8751695070297694,-0.1196627772373702
-0.005064196428571428,-0.8775832093765463,-0.1200031173649912
-0.005062946428571428,-0.8824106140701052,-0.1217048180030966
-0.005061696428571428,-0.8882724626265636,-0.1213644778754757
-0.005060446428571428,-0.8937894965620564,-0.1220451581307179
-0.005059196428571429,-0.8958583842878661,-0.122385498258339
-0.005057946428571428,-0.9006857889814224,-0.1220451581307179
-0.005056696428571429,-0.9062028229169126,-0.1230661785135808
-0.005055446428571428,-0.9093061545056298,-0.1230661785135812
-0.005054196428571428,-0.9155128176830604,-0.1230661785135817
-0.005052946428571428,-0.9182713346508056,-0.1240871988964446
-0.005051696428571428,-0.9227539247233946,-0.1230661785135814
-0.005050446428571428,-0.9251676270701715,-0.1234065186412024
-0.005049196428571428,-0.9293054025217912,-0.1230661785135812
-0.005047946428571429,-0.9330983633524407,-0.1227258383859603
-0.005046696428571428,-0.9362016949411571,-0.1234065186412024
-0.005045446428571429,-0.940684285013743,-0.1237468587688233
-0.005044196428571428,-0.9434428019814913,-0.1237468587688235
-0.005042946428571428,-0.9462013189492393,-0.1234065186412019
-0.005041696428571428,-0.9496494651589207,-0.122385498258339
-0.005040446428571428,-0.9537872406105403,-0.1217048180030968
-0.005039196428571428,-0.9558561283363501,-0.1217048180030968
-0.005037946428571428,-0.9599939037879697,-0.1217048180030968
-0.005036696428571429,-0.9620627915137786,-0.1217048180030968
-0.005035446428571428,-0.9644764938605576,-0.1206837976202334
-0.005034196428571429,-0.9672350108283028,-0.1210241377478544
-0.005032946428571428,-0.9699935277960503,-0.1206837976202334
-0.005031696428571428,-0.9724072301428296,-0.1196627772373698
-0.005030446428571428,-0.9751657471105748,-0.1189820969821279
-0.005029196428571428,-0.9775794494573529,-0.1176207364716434
-0.005027946428571428,-0.9793035225621943,-0.1172803963440223
-0.005026696428571428,-0.9810275956670359,-0.1176207364716434
-0.005025446428571429,-0.9830964833928447,-0.1162593759611596
-0.005024196428571428,-0.9861998149815604,-0.1152383555782956
-0.005022946428571428,-0.9879238880864023,-0.1145576753230528
-0.005021696428571428,-0.9889583319493067,-0.1131963148125689
-0.005020446428571428,-0.9899927758122129,-0.1118349543020844
-0.005019196428571428,-0.992751292779958,-0.1114946141744634
-0.005017946428571428,-0.9941305512638312,-0.1108139339192211
